Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,$51.42,-0.59,-1.134%,4706329498.00,,2015,621764,Real Estate,Real Estate Investment Trusts
NTST,NetSTREIT Corp. Common Stock,$20.94,-0.11,-0.523%,1003486429.00,United States,2020,253308,Real Estate,Real Estate Investment Trusts
NXRT,NexPoint Residential Trust Inc. Common Stock,$74.17,-1.56,-2.06%,1906183092.00,United States,2015,96963,Real Estate,Real Estate Investment Trusts
NYC,New York City REIT Inc. Class A Common Stock,$7.63,0.47,6.564%,103505299.00,,2020,42685,Real Estate,Real Estate Investment Trusts
NYMT,New York Mortgage Trust Inc. Common Stock,$3.11,-0.01,-0.321%,1185684486.00,United States,,1886502,Real Estate,Real Estate Investment Trusts
NYMTL,New York Mortgage Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,$22.91,0.09,0.394%,0.00,United States,,989,Real Estate,Real Estate Investment Trusts
NYMTM,New York Mortgage Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$23.15,0.45,1.982%,0.00,United States,,3196,Real Estate,Real Estate Investment Trusts
NYMTN,New York Mortgage Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$22.61,-0.17,-0.746%,0.00,United States,,20724,Real Estate,Real Estate Investment Trusts
NYMTZ,New York Mortgage Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,$21.49,0.135,0.632%,0.00,United States,,12222,Real Estate,Real Estate Investment Trusts
O,Realty Income Corporation Common Stock,$67.36,-1.08,-1.578%,40523661892.00,United States,,2821879,Real Estate,Real Estate Investment Trusts
OFC,Corporate Office Properties Trust Common Stock,$26.70,-0.54,-1.982%,3001476468.00,United States,,434780,Real Estate,Real Estate Investment Trusts
OHI,Omega Healthcare Investors Inc. Common Stock,$29.00,-0.23,-0.787%,6821289520.00,United States,1992,1458648,Real Estate,Real Estate Investment Trusts
OLP,One Liberty Properties Inc. Common Stock,$26.86,-0.34,-1.25%,567452794.00,United States,1986,35039,Real Estate,Real Estate Investment Trusts
ONL,Orion Office REIT Inc. Common Stock,$12.88,-0.25,-1.904%,729338372.00,,2021,539085,Real Estate,Real Estate Investment Trusts
OPI,Office Properties Income Trust Common Shares of Beneficial Interest,$20.82,-0.33,-1.56%,1008208500.00,United States,,235233,Real Estate,Real Estate Investment Trusts
OPINL,Office Properties Income Trust 6.375% Senior Notes due 2050,$24.5327,-0.3273,-1.317%,0.00,United States,,5361,Real Estate,Real Estate Investment Trusts
ORC,Orchid Island Capital Inc. Common Stock,$3.15,0.00,0.00%,557919136.00,United States,2013,1019420,Real Estate,Real Estate Investment Trusts
OUT,OUTFRONT Media Inc. Common Stock,$19.56,-0.67,-3.312%,3208029732.00,,2014,2019383,Real Estate,Real Estate Investment Trusts
PCH,PotlatchDeltic Corporation Common Stock,$51.42,-1.11,-2.113%,3567123872.00,United States,,458162,Real Estate,Real Estate Investment Trusts
PDM,Piedmont Office Realty Trust Inc. Class A Common Stock,$14.25,-0.24,-1.656%,1757464784.00,United States,,596058,Real Estate,Building operators
PEAK,Healthpeak Properties Inc. Common Stock,$28.69,-0.59,-2.015%,15479894720.00,United States,,2575242,Real Estate,Real Estate Investment Trusts
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,$23.17,-0.20,-0.856%,3043411336.00,United States,2009,1109215,Real Estate,Real Estate Investment Trusts
PECO,Phillips Edison & Company Inc. Common Stock,$34.43,-0.73,-2.076%,3921577000.00,United States,2021,1002415,Real Estate,Real Estate Investment Trusts
PEI,Pennsylvania Real Estate Investment Trust Common Stock,$0.3542,-0.0369,-9.435%,28552925.00,United States,,1060491,Real Estate,Real Estate Investment Trusts
PEO,Adams Natural Resources Fund Inc. Common Stock,$23.65,0.26,1.112%,578635492.00,United States,,84796,Real Estate,Real Estate Investment Trusts
PGRE,Paramount Group Inc. Common Stock,$8.67,-0.33,-3.667%,1899333640.00,United States,2014,768075,Real Estate,Real Estate Investment Trusts
PINE,Alpine Income Property Trust Inc. Common Stock,$18.85,0.13,0.694%,223048110.00,United States,2019,37200,Real Estate,Real Estate Investment Trusts
PK,Park Hotels & Resorts Inc. Common Stock ,$18.45,-0.32,-1.705%,4305677976.00,United States,2016,2291416,Real Estate,Real Estate Investment Trusts
PLD,Prologis Inc. Common Stock,$127.58,-1.96,-1.513%,94443263860.00,United States,,3217191,Real Estate,Real Estate Investment Trusts
PLYM,Plymouth Industrial REIT Inc. Common Stock,$19.56,-0.45,-2.249%,794136000.00,United States,2017,218451,Real Estate,Real Estate Investment Trusts
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,$16.27,0.00,0.00%,1496086309.00,United States,2009,820779,Real Estate,Real Estate Investment Trusts
PSA,Public Storage Common Stock,$330.72,-2.20,-0.661%,58050930375.00,United States,,521949,Real Estate,Real Estate Investment Trusts
PSB,PS Business Parks Inc. (MD) Common Stock,$187.14,-0.11,-0.059%,5170199683.00,United States,1991,226526,Real Estate,Real Estate Investment Trusts
PSTL,Postal Realty Trust Inc. Class A Common Stock,$15.81,-0.21,-1.311%,297103939.00,,2019,95848,Real Estate,Real Estate Investment Trusts
PW,Power REIT (MD) Common Stock,$22.37,-0.23,-1.018%,75325629.00,United States,1998,29897,Real Estate,Real Estate Investment Trusts
RC,Ready Capital Corproation Common Stock,$14.69,0.07,0.479%,1679955936.00,United States,2013,1076790,Real Estate,Real Estate Investment Trusts
RCA,Ready Capital Corporation 7.00% Convertible Senior Notes due 2023,$25.66,0.09,0.352%,0.00,United States,2017,455,Real Estate,Real Estate Investment Trusts
REFI,Chicago Atlantic Real Estate Finance Inc. Common Stock,$17.23,0.01,0.058%,304245841.00,United States,2021,32363,Real Estate,Real Estate Investment Trusts
REG,Regency Centers Corporation Common Stock,$66.68,-0.77,-1.142%,11493120364.00,United States,1993,932460,Real Estate,Real Estate Investment Trusts
REXR,Rexford Industrial Realty Inc. Common Stock,$65.10,-0.37,-0.565%,10742863715.00,United States,2013,1453944,Real Estate,Real Estate Investment Trusts
RHP,Ryman Hospitality Properties Inc. (REIT),$94.98,-0.42,-0.44%,5237753783.00,United States,,403232,Real Estate,Real Estate Investment Trusts
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,$13.76,-0.21,-1.503%,2295767743.00,United States,2011,1461555,Real Estate,Real Estate Investment Trusts
ROIC,Retail Opportunity Investments Corp. Common Stock (MD),$17.79,-0.25,-1.386%,2209577703.00,United States,,985856,Real Estate,Real Estate Investment Trusts
RPT,RPT Realty Common Stock,$11.83,-0.24,-1.988%,1006860078.00,United States,,351490,Real Estate,Real Estate Investment Trusts
RTL,The Necessity Retail REIT Inc. Class A Common Stock,$7.52,-0.13,-1.699%,1000469019.00,United States,,610581,Real Estate,Real Estate Investment Trusts
RTLPO,The Necessity Retail REIT Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,$23.90,-0.13,-0.541%,0.00,United States,,11479,Real Estate,Real Estate Investment Trusts
RTLPP,The Necessity Retail REIT Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,$23.9619,-0.1731,-0.717%,0.00,United States,,8718,Real Estate,Real Estate Investment Trusts
RWT,Redwood Trust Inc. Common Stock,$10.30,-0.14,-1.341%,1239041683.00,United States,1995,666779,Real Estate,Real Estate Investment Trusts
RYN,Rayonier Inc. REIT Common Stock,$40.95,-0.67,-1.61%,5990687130.00,United States,,551305,Real Estate,Real Estate Investment Trusts
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.37,0.21,0.835%,0.00,United States,2019,3220,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.08,0.08,1.60%,184318245.00,United States,2017,179477,Real Estate,Real Estate Investment Trusts
SAFE,Safehold Inc. Common Stock,$45.25,-1.02,-2.204%,2802864550.00,United States,2017,215310,Real Estate,Real Estate Investment Trusts
SBAC,SBA Communications Corporation Class A Common Stock,$329.56,-6.41,-1.908%,35536142048.00,United States,1999,795099,Real Estate,Real Estate Investment Trusts
SBRA,Sabra Health Care REIT Inc. Common Stock,$13.54,-0.28,-2.026%,3127127681.00,United States,,1939797,Real Estate,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.44,-0.01,-0.039%,0.00,United States,2019,3566,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.5747,0.0747,0.293%,0.00,United States,2020,4401,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$24.1557,0.1858,0.775%,0.00,United States,,1520,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$23.6892,-0.1208,-0.507%,0.00,United States,2022,7510,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$24.70,0.08,0.325%,0.00,United States,2022,4257,Real Estate,Real Estate Investment Trusts
SELF,Global Self Storage Inc. Common Stock,$6.17,0.17,2.833%,66752736.00,United States,,84389,Real Estate,Real Estate Investment Trusts
SEVN,Seven Hills Realty Trust Common Stock,$11.05,0.06,0.546%,161297723.00,United States,,8693,Real Estate,Real Estate Investment Trusts
SHO,Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares,$12.23,-0.12,-0.972%,2632022006.00,United States,2004,3625196,Real Estate,Real Estate Investment Trusts
SITC,SITE Centers Corp. Common Stock,$15.36,0.02,0.13%,3284370801.00,United States,,2550216,Real Estate,Real Estate Investment Trusts
SKT,Tanger Factory Outlet Centers Inc. Common Stock,$16.89,-0.39,-2.257%,1763217903.00,United States,1993,365052,Real Estate,Real Estate Investment Trusts
SLG,SL Green Realty Corp Common Stock,$58.54,-1.60,-2.66%,3753839390.00,United States,1997,836421,Real Estate,Real Estate Investment Trusts
SOHO,Sotherly Hotels Inc. Common Stock,$1.85,-0.01,-0.538%,33520603.00,United States,,50615,Real Estate,Real Estate Investment Trusts
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,$17.3126,0.2626,1.54%,0.00,United States,,3891,Real Estate,Real Estate Investment Trusts
SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,$18.40,-0.20,-1.075%,0.00,United States,,563,Real Estate,Real Estate Investment Trusts
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$17.34,-0.71,-3.934%,0.00,United States,,1607,Real Estate,Real Estate Investment Trusts
SPG,Simon Property Group Inc. Common Stock,$109.95,-2.37,-2.11%,36134693120.00,United States,,1392451,Real Estate,Real Estate Investment Trusts
SQFT,Presidio Property Trust Inc. Class A Common Stock,$3.69,0.05,1.374%,45624226.00,United States,2020,60751,Real Estate,Real Estate Investment Trusts
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,$23.677,0.00,0.00%,0.00,United States,,60,Real Estate,Real Estate Investment Trusts
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,$0.1802,-0.006,-3.222%,0.00,United States,,16812,Real Estate,Real Estate Investment Trusts
SRC,Spirit Realty Capital Inc. Common Stock,$41.61,-0.59,-1.398%,5588571109.00,United States,2013,338045,Real Estate,Real Estate Investment Trusts
SRG,Seritage Growth Properties Class A Common Stock,$7.82,-0.41,-4.982%,341557409.00,United States,2015,450680,Real Estate,Real Estate Investment Trusts
STAG,Stag Industrial Inc. Common Stock,$33.07,-0.70,-2.073%,5926584162.00,United States,2011,799445,Real Estate,Real Estate Investment Trusts
STAR          ,iStar Inc. Common Stock,$17.73,-0.10,-0.561%,1468890696.00,United States,,1157201,Real Estate,Real Estate Investment Trusts
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,$4.815,0.185,3.996%,64014895.00,,2018,1438,Real Estate,Other Consumer Services
STOR,STORE Capital Corporation Common Stock,$27.24,-0.54,-1.944%,7642660607.00,United States,2014,2214158,Real Estate,Real Estate Investment Trusts
STRS,Stratus Properties Inc. Common Stock,$45.67,0.04,0.088%,377840150.00,United States,,23388,Real Estate,Homebuilding
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,$23.53,-0.31,-1.30%,7221727339.00,United States,2009,1500003,Real Estate,Real Estate Investment Trusts
SUI,Sun Communities Inc. Common Stock,$165.77,-1.33,-0.796%,20159720205.00,United States,1993,603951,Real Estate,Real Estate Investment Trusts
SVC,Service Properties Trust Common Stock,$6.62,-0.11,-1.634%,1092902784.00,United States,,1152558,Real Estate,Real Estate Investment Trusts
TPHS,Trinity Place Holdings Inc. Common Stock,$1.20,0.00,0.00%,44220448.00,,,450,Real Estate,Real Estate
TRNO,Terreno Realty Corporation Common Stock,$61.53,-1.21,-1.929%,4647743740.00,United States,2010,272674,Real Estate,Real Estate Investment Trusts
TRTX,TPG RE Finance Trust Inc. Common Stock,$10.54,-0.05,-0.472%,813538806.00,United States,2017,218654,Real Estate,Real Estate Investment Trusts
TWO,Two Harbors Investment Corp,$5.33,-0.05,-0.929%,1834282670.00,United States,,2177179,Real Estate,Real Estate Investment Trusts
TWOA,two Class A Ordinary Shares,$9.76,0.01,0.103%,267674100.00,,2021,333,Real Estate,Real Estate Investment Trusts
UBA,Urstadt Biddle Properties Inc. Common Stock,$17.17,-0.25,-1.435%,694099499.00,United States,,70016,Real Estate,Real Estate Investment Trusts
UBP,Urstadt Biddle Properties Inc. Common Stock,$15.6859,-0.1741,-1.098%,634104562.00,United States,,737,Real Estate,Real Estate Investment Trusts
UDR,UDR Inc. Common Stock,$47.80,-0.20,-0.417%,15219573010.00,United States,,2398031,Real Estate,Real Estate Investment Trusts
UE,Urban Edge Properties Common Shares of Beneficial Interest,$18.27,-0.20,-1.083%,2145398269.00,United States,2015,609538,Real Estate,Real Estate Investment Trusts
UHT,Universal Health Realty Income Trust Common Stock,$51.42,-1.36,-2.577%,708890672.00,United States,,33457,Real Estate,Real Estate Investment Trusts
UMH,UMH Properties Inc. Common Stock,$19.82,-0.20,-0.999%,1075016980.00,United States,1994,264669,Real Estate,Real Estate Investment Trusts
UNIT,Uniti Group Inc. Common Stock,$11.46,-0.03,-0.261%,2717239482.00,United States,,1364167,Real Estate,Real Estate Investment Trusts
VICI,VICI Properties Inc. Common Stock,$31.39,-0.03,-0.095%,30228636327.00,,2018,13981987,Real Estate,Real Estate Investment Trusts
VNO,Vornado Realty Trust Common Stock,$33.14,-0.94,-2.758%,6354379259.00,United States,,860201,Real Estate,Real Estate Investment Trusts
VRE,Veris Residential Inc. Common Stock,$16.15,-0.14,-0.859%,1470146225.00,United States,,426970,Real Estate,Real Estate Investment Trusts
VSTA,Vasta Platform Limited Class A Ordinary Shares,$4.67,-0.11,-2.301%,384779284.00,Brazil,2020,72937,Real Estate,Other Consumer Services
VTR,Ventas Inc. Common Stock,$56.17,-0.40,-0.707%,22450896628.00,United States,,1185283,Real Estate,Real Estate Investment Trusts
VTRU,Vitru Limited Common Shares,$17.18,-0.32,-1.829%,400692988.00,Brazil,2020,87247,Real Estate,Other Consumer Services
WAFU,Wah Fu Education Group Limited Ordinary Shares,$2.40,0.00,0.00%,10514479.00,China,2019,2757,Real Estate,Other Consumer Services
WE,WeWork Inc. Class A Common Stock,$7.30,-0.22,-2.926%,5149386741.00,,,6624268,Real Estate,Real Estate
WELL,Welltower Inc. Common Stock,$88.00,-0.87,-0.979%,39949164112.00,United States,,1538892,Real Estate,Real Estate Investment Trusts
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,$2.60,0.25,10.638%,25280042.00,United States,2012,28584,Real Estate,Real Estate Investment Trusts
WHLRD,Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock,$14.25,-0.45,-3.061%,0.00,United States,,2605,Real Estate,Real Estate Investment Trusts
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$5.25,0.07,1.351%,0.00,United States,,245,Real Estate,Real Estate Investment Trusts
WMC,Western Asset Mortgage Capital Corporation Common Stock,$1.25,0.01,0.806%,75475131.00,United States,2012,215129,Real Estate,Real Estate Investment Trusts
WPC,W. P. Carey Inc. REIT,$82.98,-1.01,-1.203%,15826413773.00,United States,,598677,Real Estate,Real Estate Investment Trusts
WRE,Washington Real Estate Investment Trust Common Stock,$24.22,-0.07,-0.288%,2117452488.00,United States,2000,452069,Real Estate,Real Estate Investment Trusts
WSR,Whitestone REIT Common Shares,$12.07,-0.11,-0.903%,593204085.00,United States,2010,280269,Real Estate,Real Estate Investment Trusts
WY,Weyerhaeuser Company Common Stock,$38.34,-0.38,-0.981%,28544053320.00,United States,,3596964,Real Estate,Real Estate Investment Trusts
XHR,Xenia Hotels & Resorts Inc. Common Stock,$18.81,-0.23,-1.208%,2150985065.00,United States,2015,420245,Real Estate,Real Estate Investment Trusts
YQ,17 Education & Technology Group Inc. American Depositary Shares,$2.04,-0.13,-5.991%,104160564.00,China,2020,31672,Real Estate,Other Consumer Services
ZCMD,Zhongchao Inc. Class A Ordinary Shares,$1.27,0.01,0.794%,29927639.00,China,2020,801,Real Estate,Other Consumer Services
